Tipo	Debil (x0.5)	Fuerte (x2)	Inmune (x0)
Acero	Acero Aguass Electrico Fuego	Hadas Hielo Piedra	
Aguass	Aguass Dragon Planta	Fuego Piedra Tierra	
Bicho	Acero Fantasma Fuego Hadas Lucha Veneno Volador	Planta Psiquico Siniestro	
Dragon	Acero	Dragon	Hadas
Electrico	Dragon Electrico Planta	Aguas Volador	Tierra
Fantasma	Siniestro	Fantasma Psiquico	Normal
Fuego	Aguas Dragon Fuego Piedra	Acero Bicho Hielo Planta	
Hadass	Acero Fuego Veneno	Dragon Lucha Siniestro 	
Hielo	Acero Aguas Fuego Hielo	Dragon Planta Tierra Volador	
Lucha	Bicho Hadas Psiquico Veneno Volador	Acero Hielo Normal Piedra Siniestro	Fantasma
Normal	Piedra Acero	null	Fantasma
Planta	Acero Bicho Dragon Fuego Planta Veneno Volador	Aguas Piedra Tierra	
Psiquico	Acero Psiquico	Lucha Veneno	Siniestro
Piedra	Acero Lucha Tierra	Bicho Fuego Hielo Volador	
Siniestro	Hadas Lucha Siniestro	Fantasma Psiquico	
Tierra	Bicho Planta	Acero Electrico Fuego Piedra Veneno	Volador
Veneno	Fantasma Piedra Tierra Veneno	Hadas Planta	Acero
Volador	Acero Electrico Piedra	Bicho Lucha Planta	
