Nombre      | Debil x(2)                            | Fuerte x(1/2)                                                           | Inmune x(0)
Acero       | Lucha Fuego Tierra                    | Normal Volador Roca Bicho Acero Planta Psiquico Hielo Dragon Hadas     | Veneno
Aguas        | Planta Electrico                      | Acero Fuego Aguas Hielo                                                | 
Bicho       | Volador Fuego Roca                    | Lucha Tierra Planta                                                   | 
Dragon      | Hadas  Hielo Dragon                    | Fuego Aguas Planta Electrico                                           | 
Electrico   | Tierra                                | Volador Acero Electrico                                               | 
Fantasma    | Fantasma Siniestro                    | Veneno Bicho                                                          | Normal Lucha
Fuego       | Tierra Aguas Roca                      | Bicho Acero Fuego Planta Hielo Hadas                                   | 
Hadas        | Acero Veneno                          | Lucha Bicho Siniestro                                                 | Dragon 
Hielo       | Lucha Acero Roca Fuego                | Hielo                                                                 | 
Lucha       | Psiquico Volador Hielo                | Roca Bicho Siniestro                                                  | 
Normal      | Lucha                                 |                                                                       | Fantasma
Planta      | Volador Bicho Veneno Hielo Fuego      | Tierra Aguas Planta Electrico                                          | 
Psiquico    | Bicho Fantasma Siniestro              | Lucha Psiquico                                                        | 
Roca        | Lucha Tierra Acero Aguas Planta        | Normal Volador Veneno Fuego                                           | 
Siniestro   | Lucha Hadas Bicho                      | Fantasma Siniestro                                                    | Psiquico
Tierra      | Aguas Planta Hielo                     | Veneno Roca                                                           | Electrico
Veneno      | Tierra Psiquico                       | Lucha Veneno Bicho Planta Hadas                                        | 
Volador     | Roca Hielo Electrico                  | Lucha Bicho Planta                                                    | Tierra
